C,epsilon,r2,error_ma,error_ms,error_rms,error_mp,error_max
-,-,-,-,-,-,-,-
3000,0.5,0.9667371264240755,3.5328126617700693,63.330783823753784,7.958064075122403,10.967495960276807,59.53516517211432
15000,0.25,0.973100574757366,3.6720381137513405,45.57272137103019,6.750757096135973,14.772550896899075,45.468719699814685
3000,0.35,0.9840030332943507,3.271804311716057,26.641114709724633,5.161503144407124,51.01230445457677,21.29619925184609
4000,0.5,0.979285977467548,3.2781725826245203,32.4898454026999,5.699986438817192,22.73568812534953,27.376835335551405
3000,0.5,0.9863904568076692,3.104635914242574,22.273019394952833,4.719429986232748,11.03299762380594,17.324673436444286
4000,0.5,0.9900665656802845,2.9312932075640146,19.585309872912564,4.4255293325106955,106.15600148522957,19.657006475933482
10000,0.45,0.9657480642393481,3.0995961112914987,56.13517655941072,7.492341193472887,7.78734169191493,70.20887640546296
3000,0.5,0.9776313327690755,3.2401524155430645,40.73543252911788,6.382431553030387,195.54093563706067,56.463144483664905
4000,0.4,0.9731148524539042,3.3047852384165752,37.279788555825704,6.105717693754412,11.331144760357166,35.703344274676304
4000,0.5,0.9904606854968548,2.650149847703505,15.061010545902906,3.880851780975783,11.092631790792847,13.400388861886043
-,-,-,-,-,-,-,-
500,0.15,0.9156955976940488,2.3853788665340865,11.08469325078319,3.3293682960560536,2.6613399985881956,16.07982975304523
500,0.15,0.9479034808975926,1.9250556516935338,6.50696493219674,2.55087532666666,2.1196486143373447,9.857855619281239
500,0.45,0.9210107544527272,2.147577144470554,9.354476243525077,3.058508826785543,2.331927337248041,15.582144664300984
500,0.5,0.931768720957957,2.3464547071477337,10.119860960506363,3.1811728906971344,2.5561417765743704,10.558877595678823
500,0.2,0.9279587707073693,2.2493121925253545,10.803797965986766,3.286913136361648,2.5058681029133485,15.521881705118147
500,0.4,0.9420059064561925,2.012659446419232,7.167006477721886,2.6771265337525394,2.2061683956575884,10.280159142309913
500,0.35,0.9412223255781522,2.162760715311729,8.246238478325726,2.8716264517387575,2.3602959453162806,9.282229129819427
500,0.1,0.8991114413979971,2.6453606611271314,13.210918485460247,3.6346827214297877,2.9402843386008253,11.805155499107869
500,0.25,0.8978754232655544,2.5745300506213926,11.557934853863586,3.399696288473955,2.800146134438965,10.759255612154817
500,0.5,0.8980017519752119,2.4436327281294665,10.7075119189595,3.272233475618679,2.6740796237153486,11.756126143559982
-,-,-,-,-,-,-,-
500,0.5,0.9649060965604555,1.102517044751769,2.5446017853333145,1.5951808002020693,3.377318967692359,5.916790893516158
500,0.5,0.9665116312893122,1.0350940690397075,2.113080237976247,1.4536437796022266,3.2485222542902723,5.203679413751104
500,0.5,0.9686595357571588,1.0847840695224138,2.2637890617218956,1.5045893332474132,3.1160021156796924,5.23363139443213
500,0.5,0.9753945095312521,1.048497662112702,1.8113356808711838,1.3458587150481969,3.2599583935201237,4.568228549310909
500,0.5,0.9669904690999502,1.0831252416276633,2.633119591993774,1.6226890003921806,3.223563104925585,6.418674751436932
500,0.4,0.9717795147833987,1.051293921945787,2.0061991047010688,1.416403581152303,3.322731136577973,4.795679253732004
500,0.5,0.9773477779903642,0.9852093422140803,1.7259302949229185,1.3137466631443517,3.0143438772822257,4.39865196491818
100,0.4,0.9534396273677209,1.1955462781369899,3.0702761183038763,1.7522203395417701,3.5223583246468864,9.334645822779969
500,0.35,0.9617710108130291,1.120999854149258,2.4132724652632427,1.5534711021654837,3.3100256126362573,5.598133509163809
500,0.5,0.9406607332095541,1.3104787260318356,3.4649530058731384,1.8614384238736286,4.019680427066816,8.566128847856113
-,-,-,-,-,-,-,-
500,0.25,0.9774643661418879,1.063960809417943,2.521586297904514,1.587950344911488,2.672529531604566,5.6287071337529895
500,0.3,0.9781615928357412,1.0763262057288987,2.204776261859504,1.4848489020299351,2.7065452749674628,5.1702441400892525
500,0.5,0.9810573182306868,1.0424949906183387,2.249424132261945,1.4998080318033855,2.4052955689310918,6.098309685699718
500,0.3,0.9861122877525954,0.9781069469093546,1.6365247851795426,1.2792672844951294,2.409361993512223,3.7565170138786854
500,0.5,0.9814495417892797,1.0229189295160503,2.3282923005280964,1.5258742741550158,2.4322086828587963,5.978305313328775
500,0.25,0.982815508921396,1.043098121150399,2.004083118866872,1.4156564268447596,2.7023078543775987,4.391605611590286
500,0.5,0.9844748480976249,1.043710280265947,1.9765656948428745,1.405903871124507,2.4974121842567003,6.440472457517828
500,0.5,0.9723133176527883,1.1467316187336984,2.7957721231984056,1.6720562559909298,2.719476579660177,6.916097924741663
500,0.25,0.9786619829096528,1.089264572285649,2.2477473173243445,1.4992489177332577,2.5952203572029218,5.773708979148651
500,0.35,0.9650342816617598,1.2635791948757835,3.1542287010870456,1.7760148369557742,3.064066006512752,6.8225227342340204
-,-,-,-,-,-,-,-
500,0.25,0.9850110875043757,1.0253976181215774,2.3149623513955087,1.521500033320903,2.226276093560901,5.182234854666689
500,0.25,0.984755950683209,1.056961669878305,2.192684318643097,1.4807715281714113,2.271857641416816,4.98418253601583
500,0.35,0.9866326293928785,0.9893268473698091,2.2823526417422784,1.5107457237213278,1.9284526580738734,8.379487724742006
500,0.3,0.9899772673036169,0.9633722339631798,1.6748630637281663,1.29416500637599,2.0335882974972654,3.7651114179152216
500,0.5,0.9882881523395449,0.9526038792640457,2.0569511400907783,1.4342074954799178,1.968948270815737,6.244698368238161
500,0.25,0.9888800226525949,0.9987118241726293,1.8638084767494476,1.365213711017234,2.254800557490373,4.377221354869505
500,0.45,0.9884386874241018,1.0222179959883602,2.1082791019332627,1.4519914262602458,2.084585865965,7.246606752333847
500,0.45,0.9813972952749703,1.1099987999679823,2.592546289535503,1.6101385932693817,2.24478345496034,6.632233507406923
500,0.2,0.9858548033005652,1.0189692785533024,2.166279879994876,1.4718287536241694,2.073713619709465,6.213255770859135
500,0.35,0.9777150217333146,1.2186881358180046,2.8013868170536553,1.673734392624366,2.521965686585252,6.514345583662397
-,-,-,-,-,-,-,-
500,0.2,0.9884296454547916,1.0000135201198517,2.2680030633288957,1.5059890648105303,1.9618407435845964,5.1124648493917135
500,0.25,0.9875947475648701,1.0303444291103696,2.3179902461362145,1.5224947442064338,1.966655076697696,5.330090664624677
500,0.35,0.9890785971127776,0.9605751598939631,2.4256256289376177,1.5574420146309196,1.642606129489051,10.501121545949147
500,0.35,0.9914489061984089,0.965529611016101,1.8424749212678735,1.3573779581486778,1.819533724664683,4.3435582623484095
500,0.3,0.9911312970638906,0.9173355151775262,1.9918336588942998,1.411323371483056,1.719987206213199,6.471702980589079
500,0.25,0.9913327104972104,0.9908619327810677,1.8908950554673052,1.3750981984815867,2.031361154129183,4.534913487310938
500,0.3,0.9894285483102809,0.9878933204858403,2.4870890271929524,1.5770507370382705,1.7923792122479576,9.010404066411112
500,0.45,0.986406403840971,1.0865812771747019,2.404362970995445,1.5506008419304578,1.9518964497580327,6.107344459101213
500,0.25,0.9896004659718468,0.9684970882064504,2.0816103221058206,1.4427786809160372,1.7714190475717717,6.354601758814191
500,0.35,0.9830794932890006,1.19176986494774,2.7247830363847316,1.6506916842295933,2.2037100721824765,6.007165844040166
-,-,-,-,-,-,-,-
500,0.2,0.990126817853432,1.0523739780423698,2.6739532527921206,1.635222692110197,1.7707685703536011,6.8457404672315505
500,0.3,0.9897021498625828,1.0367527693517604,2.720651722189502,1.6494398207238425,1.694012521751852,7.231026435119404
500,0.2,0.9902690036207332,0.9910001791720545,3.060636532672547,1.7494674997474366,1.4262248896916387,13.65288591960271
1000,0.15,0.9923438467209518,0.9893342446577882,2.307388634694948,1.5190090963173815,1.6342193159052858,5.648992620358484
500,0.15,0.9931126206397262,0.9328536426218714,2.1540181315782614,1.4676573617770128,1.511880691165037,6.302213751975735
500,0.2,0.9929738390815098,1.0513482606728493,2.175411640942059,1.4749276731223329,1.8383269327065823,4.9763025587858465
500,0.15,0.9896332698958592,1.0377987644123803,3.4002498550982327,1.8439766416899734,1.6010907879693965,12.07497626416179
500,0.25,0.9902938470299533,1.0565712906772466,2.370140592029546,1.5395260933253279,1.6231087070368688,5.160735535464866
500,0.2,0.9930141433477992,0.9590012902838908,1.9858294628359816,1.4091946149613195,1.5350571043891468,6.510645111126415
500,0.4,0.9875130682493762,1.1960125328072553,2.817239585103863,1.6784634595676675,1.9078556518020124,5.671062879242129
-,-,-,-,-,-,-,-
500,0.25,0.9911111746961073,1.119994642999775,2.9616475699830147,1.7209438020990153,1.7117123896642032,7.095865439192906
500,0.2,0.9915696300914679,1.0445646057695015,2.7612168001545876,1.661690946040986,1.5740851795703354,6.638472094310927
500,0.2,0.9902156431975592,1.0610296038994453,3.833865152567247,1.9580258304136968,1.3765400196944224,16.052150141785404
1000,0.15,0.9930769110167911,1.040109317855243,2.5755023367471317,1.6048371682968747,1.5785908200936443,6.313691318485553
500,0.25,0.9936188447359815,1.009516122721342,2.470071645707593,1.571646157920921,1.4694732503211576,6.393572632990185
500,0.2,0.992778638930493,1.187084615827709,2.7918575837838038,1.6708852694855514,1.851549283140007,5.455546494729823
1000,0.15,0.9907501368645006,1.133376885274061,3.727716622304955,1.9307295570081675,1.606710576960475,12.028379696183322
500,0.1,0.9912396050821164,1.1117906592159654,2.631899022523393,1.6223128620963938,1.5400816930479657,5.507860330157115
500,0.2,0.9937478681422165,1.0033996062821582,2.2169977008640314,1.4889585960878937,1.4743912869523736,6.980974756328152
500,0.35,0.9887243647663095,1.2011878799481277,3.1612244483736545,1.7779832531195716,1.7464885188101913,6.293143372115914
-,-,-,-,-,-,-,-
1000,0.3,0.9918272049015363,1.293122085531704,3.616141133294131,1.9016154009930955,1.7101461565822305,7.194713338134946
500,0.4,0.9922782751289876,1.189118320444777,3.3888337373098665,1.8408785232355411,1.563727911352045,7.283044714062953
1000,0.35,0.9892401265632204,1.2685017476063682,5.683028505549453,2.3839103392429535,1.4606939323967651,20.235783588579807
1000,0.45,0.9935531204675434,1.1828719011445863,3.201033589020291,1.7891432555891915,1.592044557963064,6.123307726102539
500,0.3,0.9936337759270517,1.207742548921584,3.3026129460424705,1.8173092598791407,1.5209474296599528,8.621253386025415
500,0.3,0.9913588796226096,1.4005055386974248,4.496851323485689,2.120578063520815,1.882008825381508,10.17828094953775
1000,0.3,0.9914007372239877,1.3304792463978081,4.573316061518784,2.1385312860743433,1.6877850262507876,13.438203907250426
500,0.1,0.9914110055284617,1.303696621503344,3.427212335375176,1.8512731660603672,1.5727312661091775,6.084352552972518
500,0.35,0.9935086148882329,1.2422328102429507,3.1005871993309824,1.7608484316746238,1.6027694650674267,7.689222731412457
1000,0.5,0.987952871430608,1.4727594024018877,4.538461802191638,2.1303665886864724,1.8695887524667443,7.921008537993686
