,SVR features,SVR sensitivity values (abs)
0,R3p+,0.03093466352010209
1,Mor24u,0.09297756528676551
2,MATS7m,0.13091334162903667
3,DISPm,0.17137473858085575
4,RBN,0.19925332712593735
5,SM02_AEA(dm),0.2340695705960562
6,Eig08_EA(dm),0.3204273458054138
7,Eig05_EA(dm),0.3732695461537952
8,H0u,0.39492191630182233
9,E2u,0.4175905334294099
10,SM10_EA(dm),0.6506136887195352
11,GGI8,0.6694373348555834
12,VE1sign_RG,0.7727843967763077
13,SpPosA_X,0.8619326187005484
14,SpMax_X,0.9168799678107018
15,G2u,1.1810903935199817
16,Mor16u,1.1860098138718318
17,Eig07_EA(bo),1.1883760968055626
18,Psi_i_0d,1.4879007213728588
19,Eig07_EA(dm),1.5616943249440114
20,X5A,1.6526407595155845
21,Eig02_EA(dm),1.728068379346349
22,Eig09_EA(dm),1.8454446550701498
23,Eig10_AEA(bo),1.861160019195308
24,L2m,1.8853866938958694
25,MAXDP,2.2511921662641043
26,Chi1_EA(dm),2.3045204214222164
27,JGI4,2.3254247617275206
28,Mor30m,2.354109301568475
29,MATS8m,2.444974705071907
30,Eig10_EA(dm),2.95533912203728
31,nR07,3.008532774604348
32,JGI7,3.4128873586756736
33,SpMin8_Bh(e),3.437653119477294
34,MATS6m,3.6555971107560747
35,MATS4s,3.805247469161291
36,nR09,4.081352307440738
37,Mor26u,9.121864864902978
38,MAXDN,10.017682246128675
39,nR05,12.787520426835451
40,Rbrid,21.24367389298308
41,nR04,23.16670562828794
42,nTA,23.823056910087317
43,nR03,24.17746469512455
44,MW,34.61789430641205
45,nDB,45.48445389551035
46,nCsp3,97.19921107042339
